prefix,AS_path,origin_AS,authorized_ASes_in_ROAs,benign_level,explanation,possible_reason,factors,justification
197.93.210.0/24,N/A,AS5713,"['AS3741', 'AS10474', 'AS20011']",Medium,"The origin AS (AS5713) announces a prefix that is authorized for AS3741, AS10474, and AS20011, all of which are associated with NTT‑DATA and operate in South Africa. Historical mergers, acquisitions, and possible delegated or upstream‑downstream arrangements suggest an indirect operational relationship, but there is no direct evidence that AS5713 belongs to the same organization as the authorized ASes.",The conflict likely results from a delegated or upstream‑downstream announcement following a prefix transfer or ownership change within related organizations.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",same region
198.89.126.0/23,N/A,AS215269,['AS834'],High,"The prefix 198.89.126.0/23 has historically been authorized to AS834, and recent evidence indicates a prefix transfer or ownership change linking AS215269 to the same organization, suggesting a legitimate relationship rather than a malicious hijack.",The conflict is likely due to a recent prefix transfer or ownership change that has not been reflected in the ROA.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",same organization
198.89.127.0/24,N/A,AS215269,"['AS214054', 'AS834']",Medium,"The origin AS215269 is not listed in the ROAs, while the authorized ASes are AS214054 and AS834. There is no confirmed provider‑customer or sibling relationship, but both authorized ASes have announced the prefix and operate in the United States, suggesting a possible downstream or peering relationship. The evidence is circumstantial, indicating a likely benign conflict but without definitive proof.",Possible downstream or peering relationship causing a multi‑origin configuration with partial ROA coverage.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change', 'Traffic Engineering / Deaggregate Mismatches']",weak relationship
199.103.94.0/24,N/A,AS137235,['AS402003'],Medium,"The origin AS (AS137235) and the authorized AS (AS402003) are distinct entities with no confirmed organizational or provider‑customer relationship; both operate in the United States, indicating regional proximity. Evidence suggests a possible prefix transfer or ownership change that has not yet been reflected in the ROA, which can explain the validation failure, and no malicious hijack patterns are observed.",Likely a prefix transfer or ownership change that has not been reflected in the ROA.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",same region
199.166.36.0/23,N/A,AS36351,['AS16509'],Medium,"The origin AS (AS36351, IBM Cloud) and the authorized AS (AS16509, Amazon) are both major cloud providers and have both announced the prefix, which has a history of registry transfer and is currently geolocated in India. No direct provider‑customer, sibling, or corporate relationship is evident, suggesting the mismatch likely stems from a recent prefix transfer or multi‑origin/cloud‑edge usage that is not reflected in the ROA rather than a malicious hijack.",The conflict likely results from a recent prefix transfer or multi‑origin usage not reflected in the ROA.,"['Prefix Transfer / Ownership Change', 'Third-Party Announcements (CDNs, cloud edges)', 'Multi-Origin with Partial ROA Coverage', 'Third-Party Announcements (CDNs, DDoS mitigation, cloud edges)']",weak relationship
199.166.36.0/24,N/A,AS36351,['AS16509'],Medium,"AS36351 (IBM Cloud) announces the /24 prefix while the ROA authorizes AS16509 (Amazon). Both large cloud providers appear in less‑specific announcements for the surrounding /23, suggesting a possible multi‑origin or delegated arrangement, but there is no concrete evidence of a direct provider‑customer, sibling, or same‑organization relationship; the situation may stem from a prefix transfer, shared infrastructure, or third‑party CDN/DDoS mitigation usage.",Possible multi‑origin situation due to a prefix transfer or delegated/shared resource arrangement between the two cloud providers.,"['Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Delegated / Upstream-Downstream Announcements', 'Shared Resource Management', 'Third-Party Announcements (CDNs, DDoS mitigation, cloud edges)']",weak relationship
199.224.104.0/24,N/A,AS22580,['AS3593'],Medium,"The announced /24 is a more specific of the /18 and /19 prefixes advertised by AS3593, which suggests a delegated sub‑prefix scenario. Both AS22580 and AS3593 are US‑based, but there is no direct evidence of a customer‑provider, sibling, or organizational relationship in the available CAIDA or RIPEstat data. Consequently, while the geographic proximity and prefix hierarchy hint at a possible upstream‑downstream arrangement, the lack of concrete linkage points to a likely misconfiguration rather than a coordinated benign conflict.",Delegated/upstream-downstream announcement leading to a multi-origin situation with partial ROA coverage.,"['Others', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",same region
199.224.64.0/18,N/A,AS22580,['AS3593'],Medium,"Both AS22580 and the authorized AS3593 are US‑based and the prefix appears to be announced by the customer (Guard Insurance) through its upstream provider (Frontier Communications). While there is no definitive evidence of a formal provider‑customer or sibling relationship, the pattern is consistent with a delegated or managed‑service announcement rather than a malicious hijack.",Delegated/upstream‑downstream announcement by a managed service provider.,"['Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (e.g., managed services, cloud edges)', 'Multi-Origin with Partial ROA Coverage']",weak relationship
199.224.96.0/19,N/A,AS22580,['AS3593'],High,"IRR records indicate that AS22580 is a customer of AS3593, establishing a provider‑customer relationship; both ASes operate in the United States and the announced /19 is a more specific of a larger prefix previously announced by AS3593, suggesting the announcement is a delegated upstream‑downstream update rather than a malicious hijack.","A delegated upstream‑downstream announcement where a customer (AS22580) announces a prefix owned by its provider (AS3593), resulting in partial ROA coverage.","['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",strong relationship
199.58.92.0/22,N/A,AS212238,['AS834'],Medium,"The origin AS212238 and the authorized AS834 are not part of the same organization and there is no clear provider‑customer or sibling relationship. Both operate in Canada, indicating a regional overlap, and the conflict could arise from delegated or upstream‑downstream announcements, a recent ownership transfer, or a multi‑origin configuration that is not fully reflected in the ROA. While these factors suggest a possible benign misconfiguration, the lack of direct ties keeps the confidence at a moderate level.",Possible misconfiguration due to delegated/upstream‑downstream or multi‑origin announcement not reflected in the ROA.,"['Others', 'Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage']",same region
200.106.178.0/24,N/A,AS269385,['AS271262'],Medium,"The origin AS269385 appears to be a reserved or non‑operational AS with little visibility, while the authorized AS271262 is actively announcing the prefix and has high visibility. Both ASes are assigned by LACNIC and are located in Brazil, indicating a regional connection. The announced /24 is a more specific sub‑prefix of the ROA‑covered /22 belonging to AS271262, and there is no evidence of a direct provider‑customer or sibling relationship, suggesting the invalid route likely stems from a misconfiguration associated with a prefix transfer or ownership change.",Operator misconfiguration during a prefix transfer or ownership change.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",same region
200.229.22.0/24,N/A,AS203963,['AS272891'],Low,"The origin AS (AS203963) and the authorized AS (AS272891) belong to different organizations and are located in Turkey and Chile respectively, with no known provider‑customer, sibling, or other operational relationship; routing history and IRR records indicate that AS272891 is the legitimate origin, suggesting the invalid announcement is likely a misconfiguration or unrelated conflict.",Misconfiguration or multi‑origin with partial ROA coverage.,"['Hijacks', 'Others', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Operational Oversight or Incomplete ROA Configuration)']",no relationship
