prefix,AS_path,origin_AS,authorized_ASes_in_ROAs,benign_level,explanation,possible_reason,factors,aggregation_confidence,model_agreement_summary
205.234.222.0/24,N/A,AS55154,"['AS396356', 'AS834']",Medium,"The origin AS (AS55154) announces the prefix while the ROAs authorize AS396356 and AS834. Historical records show the prefix has been announced by both AS55154 and AS396356 and has undergone ownership transfers, indicating a possible delegated or upstream‑downstream relationship. The presence of multi‑origin announcements and partial ROA coverage suggests the invalidity stems from a benign configuration issue rather than a malicious hijack, although no direct organizational link is evident.",Prefix transfer or ownership change leading to delegated/upstream‑downstream announcements with partial ROA coverage.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",,
205.234.228.0/24,N/A,AS834,['AS212238'],Medium,"The origin AS834 and the authorized AS212238 appear to have a circumstantial relationship, indicated by evidence of a possible prefix ownership transfer and delegated upstream/downstream announcements. While both ASes are legitimate and have announced the prefix historically, there is no direct data confirming a same‑organization or strong business tie, making the conflict likely benign but not definitively so.","The conflict likely stems from a delegated upstream/downstream arrangement or recent prefix ownership transfer, leading to partial ROA coverage.","['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Traffic Engineering / Deaggregate Mismatches']",,
205.234.242.0/24,N/A,AS834,['AS212238'],Medium,"The announcement from AS834 is RPKI‑invalid because the ROA authorizes AS212238. RIPEstat data shows AS834 in the maintainer field of route objects for the prefix and there are indications of a recent ownership or delegation change, suggesting a delegated or upstream‑downstream relationship and shared maintenance responsibilities. However, no direct provider‑customer, sibling, or same‑organization link is confirmed, resulting in a medium confidence that the conflict is benign.",Delegated/upstream-downstream announcement with shared maintenance responsibilities,"['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Shared Maintenance Responsibilities', 'Multi-Origin with Partial ROA Coverage']",,
207.114.31.0/24,N/A,AS53302,['AS17054'],High,"AS53302 has been announcing the prefix since 2013, while AS17054 acquired the parent prefix in 2023, indicating a recent transfer. AS53302 appears to be a customer or downstream of AS17054, and both entities operate in the same geographic region (Baltimore, United States), suggesting a close operational relationship. The ROA likely was not updated after the transfer, resulting in an invalid validation despite the announcement being legitimate.","Delegated/upstream‑downstream announcement after a recent prefix transfer, with the ROA not updated to include the announcing AS.","['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",,
207.59.33.0/24,N/A,AS53748,"['AS53478', 'AS7029']",Low,"The origin AS (AS53748) and the authorized ASes (AS53478, AS7029) belong to different organizations with no known provider‑customer, sibling, or corporate relationship. Although both ASes are registered in the United States and fall within the same broader ARIN address block, this geographic proximity alone is insufficient to explain the invalid announcement. The lack of any documented operational overlap or shared infrastructure points to a likely hijack rather than a benign misconfiguration.","Likely hijack, possibly caused by a misconfiguration.","['Hijacks', 'Multi-Origin with Partial ROA Coverage', 'Delegated / Upstream-Downstream Announcements', 'Others (Potential Misconfiguration or Overlooked ROA Update)']",,
209.191.224.0/19,N/A,AS22190,['AS36184'],High,"Both the origin AS (AS22190) and the authorized AS (AS36184) are registered to Virtu Financial Operating LLC, indicating a close organizational relationship; the prefix has experienced a recent transfer/ownership change, likely during a merger or acquisition, suggesting the invalid route results from an internal misconfiguration or outdated ROA rather than a malicious hijack.",The invalid route likely stems from a recent prefix ownership transfer without updated ROAs.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",,
212.116.252.0/22,N/A,AS834,"['AS7018', 'AS7029']",Medium,"AS834 is not listed in the ROA, which authorizes AS7018 and AS7029. The prefix has previously been announced by AS7029 and shows a history of multiple origins, suggesting a possible recent transfer or delegated upstream‑downstream relationship. Both AS834 and the authorized ASes operate in the United States and share maintenance attributes in IRR records, indicating indirect operational ties, but no direct provider‑customer or organizational link is evident.",Delegated/upstream‑downstream announcement or multi‑origin situation due to a recent prefix transfer.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Maintenance/Administrative Ties)']",,
212.24.246.0/23,N/A,AS57900,['AS29255'],High,"The origin AS57900 (Saudi Awwal Bank) and the authorized AS29255 (Etihad Etisalat) operate in Saudi Arabia and share administrative contacts (GULFNET-MNT and MOBILY-MNT), indicating a close operational relationship such as a customer‑provider or sibling arrangement. The announced /23 is a more specific portion of the /19 block owned by AS29255, a pattern commonly used for delegated traffic engineering or legitimate prefix transfers, and the prefix has been announced by AS57900 since 2022, supporting its legitimacy.",Delegated upstream-downstream announcement possibly due to a customer‑provider relationship or recent prefix transfer.,"['Delegated / Upstream-Downstream Announcements', 'Traffic Engineering / Deaggregate Mismatches', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",,
216.215.8.0/24,N/A,AS25764,['AS19800'],High,"AS25764 (Ziply Fiber) and AS19800 (Grant County Public Utility District) are both US‑based and have a long operational history with the prefix; AS25764 has announced the /24 since 2009 while AS19800 holds the covering /18. Evidence from RIPEstat and IRR suggests a customer‑provider or similar upstream/downstream relationship, and no hijack indicators are observed, indicating the announcement is likely benign.",Delegated/upstream‑downstream announcement due to a customer‑provider relationship.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Traffic Engineering / Deaggregate Mismatches']",,
216.246.2.0/24,N/A,AS834,['AS396356'],High,"The origin AS (AS834) and the authorized AS (AS396356) are linked through a recent prefix transfer and share administrative ties, as evidenced by a maintenance attribute (MAINT-AS834) in the IRR record for AS396356. This suggests a coordinated but misconfigured announcement between closely related operators rather than a malicious hijack.",Prefix transfer or ownership change leading to a misconfiguration between administratively linked ASes.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",,
216.246.22.0/24,N/A,AS834,['AS212238'],Medium,"The origin AS (AS834) announces a prefix that is authorized to AS212238. Available data suggest that AS834 may be a downstream customer or delegated announcer for AS212238, and the prefix has a history of transfers and shared administrative maintenance, which can lead to incomplete ROA coverage. While no direct same‑organization link is confirmed, these factors point to a likely benign configuration error rather than a malicious hijack.",Delegated/upstream‑downstream announcement with shared administrative responsibilities causing incomplete ROA coverage.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Shared Administrative Responsibilities)', 'Prefix Transfer / Ownership Change']",,
216.246.32.0/24,N/A,AS834,['AS212238'],Medium,"The origin AS834 and the authorized AS212238 appear to have a delegated or upstream‑downstream relationship; IRR data shows AS834 maintains the prefix and the ROA only covers a less specific prefix, suggesting the conflict stems from a recent prefix transfer or ownership change rather than a malicious hijack.",Delegated/upstream‑downstream announcement due to a recent prefix transfer or ownership change.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",,
