prefix,AS_path,origin_AS,authorized_ASes_in_ROAs,benign_level,explanation,possible_reason,factors,justification
205.234.148.0/24,N/A,AS23470,['AS212238'],Low,"Relationship data (CAIDA, IHR) show no provider‑customer, sibling, or organizational link between AS23470 and the authorized AS212238. The broader prefix has experienced ownership changes, but those transfers do not involve AS23470, and there is no evidence that AS23470 is a customer or subsidiary of AS212238. Therefore, the invalid announcement is more consistent with a hijack or misconfiguration rather than a benign conflict.","Likely misconfiguration or hijack due to lack of relationship, possibly arising from an outdated ROA after a prefix transfer.","['Hijacks', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration)', 'Traffic Engineering / Deaggregate Mismatches']",no relationship
205.234.186.0/24,N/A,AS55154,['AS396356'],Medium,"Both AS55154 and the authorized AS396356 announce the prefix, but there is no direct evidence of a customer‑provider, sibling, or same‑organization relationship; the ASes are merely ARIN‑assigned and have historically announced the prefix independently, suggesting a possible delegated or multi‑origin arrangement without strong operational coupling.",Delegated/upstream-downstream announcement or multi-origin with partial ROA coverage.,"['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Third-Party Announcements (e.g., hosting, cloud edges)', 'Multi-Origin with Partial ROA Coverage', 'Traffic Engineering / Deaggregate Mismatches']",weak relationship
205.234.187.0/24,N/A,AS55154,['AS396356'],Medium,"The origin AS55154 announces the 205.234.187.0/24 prefix, which is authorized in the ROA for AS396356. No direct provider‑customer or sibling relationship is evident between the two ASes; however, both are registered in the ARIN region and the prefix has historically been announced by each, suggesting possible ownership transfer or delegated upstream/downstream usage. This combination of a prior prefix transfer, multi‑origin history, and potential third‑party hosting leads to a medium likelihood of a benign configuration issue rather than a malicious hijack.",A recent prefix transfer or ownership change combined with delegated/upstream‑downstream multi‑origin announcements resulting in an ROA mismatch.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (e.g., cloud edges, hosting)', 'Multi-Origin with Partial ROA Coverage']",same region
205.234.202.0/24,N/A,AS834,['AS212238'],Medium,"AS834 and the authorized AS212238 appear to have an indirect relationship, possibly involving a recent prefix transfer, delegated or upstream‑downstream announcements, or a traffic‑engineering arrangement, but there is no clear evidence of a same‑organization or strong customer‑provider link, leading to a moderate likelihood of a benign conflict.",Delegated or upstream‑downstream announcement possibly due to a recent prefix transfer or traffic‑engineering arrangement.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (e.g., hosting, infrastructure, or CDN services)', 'Traffic Engineering / Deaggregate Mismatches', 'Multi-Origin with Partial ROA Coverage']",weak relationship
205.234.222.0/24,N/A,AS55154,"['AS396356', 'AS834']",Medium,"There is no direct organizational link between AS55154 and the authorized ASes AS396356 and AS834, but all are registered in the ARIN region, suggesting a possible regional relationship. Historical announcements show that both ASes have previously originated the prefix, and the recent change may reflect a delegated or upstream-downstream arrangement, a temporary misconfiguration, or a recent prefix transfer. These circumstantial factors point to a likely benign conflict rather than a malicious hijack.",Delegated/upstream-downstream announcement or recent prefix transfer causing a temporary misconfiguration.,"['Third-Party Announcements (CDNs, DDoS mitigation, cloud edges)', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Managed Announcement Setup)', 'Prefix Transfer / Ownership Change']",same region
205.234.228.0/24,N/A,AS834,['AS212238'],Medium,"The origin AS834 and the authorized AS212238 show indirect linkage: the prefix’s IRR record includes a maintenance entry (mnt-by AS834) while the ROA authorizes AS212238, suggesting a delegated or upstream-downstream relationship or a third‑party arrangement such as CDN traffic engineering. However, there is no direct evidence of a same‑organization or confirmed provider‑customer relationship, making the conflict possibly benign but not definitively so.",Likely a delegated/upstream‑downstream or third‑party traffic‑engineering arrangement.,"['Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, cloud edges, etc.)', 'Traffic Engineering / Deaggregate Mismatches', 'Multi-Origin with Partial ROA Coverage']",weak relationship
205.234.242.0/24,N/A,AS834,['AS212238'],Medium,"The origin AS834 and the authorized AS212238 share the same parent prefix block (205.234.128.0/17), suggesting a possible organizational or upstream/downstream link, and IRR records show a maintainer object that hints at an administrative connection. However, there is no direct evidence of a same‑organization, provider‑customer, or sibling relationship, so the relationship remains uncertain and could be due to delegated announcements or traffic‑engineering de‑aggregation.",Delegated or upstream‑downstream announcement possibly for traffic engineering or de‑aggregation.,"['Delegated / Upstream-Downstream Announcements', 'Traffic Engineering / Deaggregate Mismatches', 'Multi-Origin with Partial ROA Coverage']",weak relationship
206.206.120.0/24,N/A,AS834,['AS13332'],Medium,"AS834 originates the prefix while the ROA authorizes AS13332; evidence of a prefix transfer or ownership change and an administrative link via IRR maintenance suggests a delegated or upstream-downstream relationship, but there is no direct provider‑customer, sibling, or same‑organization connection.","Delegated/upstream-downstream announcement due to prefix transfer or ownership change, resulting in partial ROA coverage.","['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Administrative Connection via IRR Maintenance)']",weak relationship
206.206.122.0/24,N/A,AS834,['AS13332'],Medium,"AS834 is listed as the maintainer of the prefix in the IRR (mnt‑by MAINT‑AS834) and has historically announced the /24, while the ROA authorizes AS13332. This administrative link suggests a delegated or upstream‑downstream relationship, and the prefix has previously been announced by AS13332, indicating a possible ownership transfer. However, there is no evidence of a direct provider‑customer, sibling, or same‑organization relationship, so the conflict is assessed as likely benign but not definitively high.",Delegated/upstream‑downstream announcements combined with multi‑origin/partial ROA coverage due to an administrative prefix transfer.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Administrative Connection via IRR Maintenance)', 'Prefix Transfer / Ownership Change']",weak relationship
206.206.64.0/24,N/A,AS834,['AS13332'],Medium,"The origin AS (AS834) appears to have an administrative relationship with the authorized AS (AS13332), as indicated by the IRR 'mnt‑by' field referencing MAINT‑AS834 and a history of prefix transfers, suggesting a delegated or ownership‑change scenario rather than a malicious hijack, though no direct same‑organization or provider‑customer link is evident.",Delegated or upstream‑downstream announcement resulting from a prefix transfer/ownership change.,"['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Others (Administrative Relationship via IRR Maintenance)']",weak relationship
206.206.69.0/24,N/A,AS834,['AS13332'],Medium,"The origin AS (AS834) appears to have a circumstantial relationship with the authorized AS (AS13332), indicated by an IRR maintainer reference and possible delegation or upstream/downstream arrangement, as well as a history of prefix transfer. However, there is no direct evidence of a same‑organization, customer‑provider, or sibling relationship, making the conflict only partially justified.",Delegated/upstream-downstream announcement possibly linked to a recent prefix transfer,"['Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (e.g., service provision, CDNs, etc.)', 'Others (Potential Administrative Oversight in RPKI Configuration)', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage']",weak relationship
